productId,title,description,price,discount
1,Product 1,Description for product 1,472.39,45.54
2,Product 2,Description for product 2,817.65,31.06
3,Product 3,Description for product 3,930.19,10.98
4,Product 4,Description for product 4,197.29,43.02
5,Product 5,Description for product 5,806.78,20.9
6,Product 6,Description for product 6,288.15,27.94
7,Product 7,Description for product 7,815.45,6.86
8,Product 8,Description for product 8,437.5,43.03
9,Product 9,Description for product 9,987.91,7.34
10,Product 10,Description for product 10,783.51,12.28
11,Product 11,Description for product 11,394.06,23.3
12,Product 12,Description for product 12,789.71,1.09
13,Product 13,Description for product 13,101.64,43.53
14,Product 14,Description for product 14,916.34,46.47
15,Product 15,Description for product 15,445.19,3.04
16,Product 16,Description for product 16,970.29,30.0
17,Product 17,Description for product 17,995.21,16.45
18,Product 18,Description for product 18,163.12,26.79
19,Product 19,Description for product 19,352.13,45.06
20,Product 20,Description for product 20,54.19,37.79
21,Product 21,Description for product 21,118.89,46.73
22,Product 22,Description for product 22,276.13,41.21
23,Product 23,Description for product 23,399.33,31.15
24,Product 24,Description for product 24,433.36,14.45
25,Product 25,Description for product 25,338.66,42.99
26,Product 26,Description for product 26,240.69,45.41
27,Product 27,Description for product 27,515.5,28.17
28,Product 28,Description for product 28,879.41,44.92
29,Product 29,Description for product 29,285.01,30.21
30,Product 30,Description for product 30,267.21,1.35
31,Product 31,Description for product 31,558.92,16.99
32,Product 32,Description for product 32,512.49,24.81
33,Product 33,Description for product 33,120.3,40.23
34,Product 34,Description for product 34,154.35,22.72
35,Product 35,Description for product 35,539.03,17.26
36,Product 36,Description for product 36,445.58,18.88
37,Product 37,Description for product 37,920.01,33.02
38,Product 38,Description for product 38,175.74,6.87
39,Product 39,Description for product 39,484.44,29.11
40,Product 40,Description for product 40,167.88,17.37
41,Product 41,Description for product 41,880.75,46.57
42,Product 42,Description for product 42,879.03,31.27
43,Product 43,Description for product 43,505.8,29.07
44,Product 44,Description for product 44,312.78,0.63
45,Product 45,Description for product 45,867.47,29.4
46,Product 46,Description for product 46,463.39,37.79
47,Product 47,Description for product 47,320.25,5.0
48,Product 48,Description for product 48,791.8,18.54
49,Product 49,Description for product 49,504.9,8.31
50,Product 50,Description for product 50,75.21,27.11
51,Product 51,Description for product 51,556.95,0.28
52,Product 52,Description for product 52,800.43,43.34
53,Product 53,Description for product 53,291.64,5.53
54,Product 54,Description for product 54,942.98,44.61
55,Product 55,Description for product 55,899.26,7.39
56,Product 56,Description for product 56,866.98,34.12
57,Product 57,Description for product 57,58.05,34.7
58,Product 58,Description for product 58,390.94,20.14
59,Product 59,Description for product 59,930.1,4.66
60,Product 60,Description for product 60,119.16,28.98
61,Product 61,Description for product 61,541.59,28.39
62,Product 62,Description for product 62,331.43,27.83
63,Product 63,Description for product 63,576.6,18.58
64,Product 64,Description for product 64,656.1,20.9
65,Product 65,Description for product 65,493.48,41.68
66,Product 66,Description for product 66,32.81,41.78
67,Product 67,Description for product 67,733.21,6.76
68,Product 68,Description for product 68,832.85,36.56
69,Product 69,Description for product 69,539.04,33.57
70,Product 70,Description for product 70,267.06,48.07
71,Product 71,Description for product 71,823.45,49.01
72,Product 72,Description for product 72,608.07,31.55
73,Product 73,Description for product 73,272.77,22.72
74,Product 74,Description for product 74,314.22,13.6
75,Product 75,Description for product 75,528.97,48.03
76,Product 76,Description for product 76,217.48,20.54
77,Product 77,Description for product 77,884.0,40.04
78,Product 78,Description for product 78,701.61,49.89
79,Product 79,Description for product 79,911.97,3.96
80,Product 80,Description for product 80,62.06,27.5
81,Product 81,Description for product 81,814.52,22.3
82,Product 82,Description for product 82,455.38,38.76
83,Product 83,Description for product 83,433.6,42.54
84,Product 84,Description for product 84,485.08,34.65
85,Product 85,Description for product 85,658.69,30.76
86,Product 86,Description for product 86,238.07,11.58
87,Product 87,Description for product 87,568.97,27.31
88,Product 88,Description for product 88,397.62,21.59
89,Product 89,Description for product 89,321.81,41.45
90,Product 90,Description for product 90,159.77,27.26
91,Product 91,Description for product 91,916.57,14.33
92,Product 92,Description for product 92,508.61,42.62
93,Product 93,Description for product 93,475.11,1.42
94,Product 94,Description for product 94,898.38,4.93
95,Product 95,Description for product 95,421.81,5.05
96,Product 96,Description for product 96,65.3,31.26
97,Product 97,Description for product 97,185.33,8.83
98,Product 98,Description for product 98,465.29,22.08
99,Product 99,Description for product 99,228.08,33.87
100,Product 100,Description for product 100,376.92,36.34
101,Product 101,Description for product 101,68.19,16.42
102,Product 102,Description for product 102,667.39,26.94
103,Product 103,Description for product 103,206.11,37.58
104,Product 104,Description for product 104,683.17,42.04
105,Product 105,Description for product 105,271.76,4.62
106,Product 106,Description for product 106,740.16,19.3
107,Product 107,Description for product 107,322.63,32.9
108,Product 108,Description for product 108,34.89,24.55
109,Product 109,Description for product 109,655.69,3.18
110,Product 110,Description for product 110,300.89,3.81
111,Product 111,Description for product 111,417.57,42.45
112,Product 112,Description for product 112,535.28,28.25
113,Product 113,Description for product 113,376.24,19.27
114,Product 114,Description for product 114,98.61,20.49
115,Product 115,Description for product 115,559.35,14.72
116,Product 116,Description for product 116,904.13,37.63
117,Product 117,Description for product 117,698.46,1.52
118,Product 118,Description for product 118,410.03,26.03
119,Product 119,Description for product 119,110.27,46.09
120,Product 120,Description for product 120,509.11,8.46
121,Product 121,Description for product 121,649.66,3.14
122,Product 122,Description for product 122,270.33,23.75
123,Product 123,Description for product 123,331.06,3.84
124,Product 124,Description for product 124,682.16,7.38
125,Product 125,Description for product 125,995.37,29.53
126,Product 126,Description for product 126,967.0,2.05
127,Product 127,Description for product 127,756.82,26.28
128,Product 128,Description for product 128,325.8,11.21
129,Product 129,Description for product 129,317.11,34.79
